artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,28456266,['pop'],89
4IWBUUAFIplrNtaOHcJPRM,James Arthur,7338877,"['pop', 'talent show', 'uk pop']",86
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,17287932,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",85
04gDigrS5kc9YWfZHwBETP,Maroon 5,29001677,"['pop', 'pop rock']",89
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,6429477,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",78
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,8265268,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",82
540vIaP2JwjQb9dm3aArA4,DJ Snake,7191139,"['dance pop', 'edm', 'electro house', 'electronic trap', 'pop', 'pop dance']",81
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,27914963,"['canadian contemporary r&b', 'canadian pop', 'pop']",96
46GXASE9LHzyssNqKOInUu,Dawin,208945,['nyc pop'],56
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6121399,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']",81
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3085410,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",80
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,3011043,"['ohio hip hop', 'pop rap']",88
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,14236888,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'uk pop']",86
7gAppWoH7pcYmphCVTXkzs,The Vamps,4154568,"['boy band', 'dance pop', 'pop', 'post-teen pop']",76
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,14183720,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",82
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,56649772,"['dance pop', 'pop', 'post-teen pop']",98
02A3cEvlLLCbIMVDrK2GHV,Starley,121220,"['aussietronica', 'dance pop', 'pop dance', 'tropical house']",62
2oX42qP5ineK3hrhBECLmj,Andy Grammer,896979,"['modern rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",77
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,31030014,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",92
6MDME20pz9RveH9rEXvrOM,Clean Bandit,4141716,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",81
0jKQrxK2zHqxyOAyIMrUQt,SUD,286246,"['opm', 'pinoy rock']",56
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,12134398,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",82
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3492009,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'tropical house']",80
3e7awlrlDSwF3iM0WBjGMp,Little Mix,8588943,"['dance pop', 'girl group', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'uk pop']",85
